"item_id","item_type_name","title","genre_name","MIN(c.contribution_id)","first_name","last_name","role_name","description"
"75","Magazine","Bloomberg Businessweek","Business","75","Joel","Weber","Creator","Tech’s trillion-dollar companies (October 2019 issue)."
"76","Magazine","Popular Science","Technology","76","Corinne","Iozzio","Creator","10 Innovations That Could Change the World (May 2022)."
"77","Magazine","Entertainment Weekly","Entertainment","77","Mary","Sollosi","Creator","Fall TV Preview: What to watch in 2021."
"78","Magazine","ESPN Magazine","Sports","78","Alison","Overholt","Creator","The Body Issue 2018: Celebrating athletic form and strength."
"79","Magazine","Condé Nast Traveler","Travel","79","Pilar","Guzmán","Creator","Europe travel guide special (August 2016)."
"80","Magazine","HGTV Magazine","Home & Garden","80","Rachel","Hardage Barrett","Creator","DIY Fall Décor and Budget Remodels (October 2022 issue)."
"85","Book","The Javelin Program (Time to Orbit: Unknown)","Science Fiction","95","Derin","Edala","Author","Aspen Greaves wakes up from a cryo-sleep on a space colony ship earlier than expected and all alone."
"86","CD","Speak Now","Country","81","Taylor","Swift","Performer","Speak Now is a loose concept album about the unsaid things she wanted to deliver to the subjects of her songs."
"87","CD","Red","Country","82","Taylor","Swift","Performer","Red is Taylor Swift's final album marketed as Country, with a focus on breakup songs."
"88","CD","1989","Pop","83","Taylor","Swift","Performer","Titled after Swift's birth year as a symbolic rebirth, the album recalibrated her artistic identity from country music to pop."
"89","DVD","Sinners","Horror","85","Ryan","Coogler","Director","Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back."
"112","Book","Honest Redneck","Fantasy","102","Johny","John","Unknown","The most honest redneck and his adventures with his dog, Callie."
"117","Book","The Antarctica Conspiracy (Time to Orbit: Unknown)","Science Fiction","104","Derin","Edala","Author","The crew of the Courageous draw closer to their destination, but realize that everything is much more complicated than they once thought."
"118","Book","His Majesty's Dragon (Temeraire)","Fantasy","105","Naomi","Novik","Author","The English Navy seize a French warship and discover that it's harboring a stolen dragon egg. Captain William Laurence bonds with the dragon, becoming apart of Britain's Aerial Corps."
"119","Book","Throne of Jade (Temeraire)","Fantasy","106","Naomi","Novik","Author","The Chinese get into contact with Captain Laurence, intent on retrieving Temeraire, and they go to China on a diplomatic mission."
"120","Book","Black Powder War (Temeraire)","Fantasy","107","Naomi","Novik","Author","Captain Laurence and his crew escape China, going through Turkey."
